event,operation,values,maximum_abs,minimum_nonzero_abs,output_cipher,input_a,input_b
0,encode,248,0.98185232101563369,0.0014033668643868768,0,0,0
1,encode,248,515.46368408199999,0.838314593,0,0,0
2,encrypt,0,0,0,1,0,0
3,mulPlain,0,0,0,2,1,0
4,encode,248,0.95376455325143095,0.00034147633128597923,0,0,0
5,encode,248,514.26171875,0.48693963899999998,0,0,0
6,encrypt,0,0,0,3,0,0
7,mulPlain,0,0,0,4,3,0
8,encode,248,0.953764553254146,0.00034147633118574464,0,0,0
9,encode,248,500.684417725,1.1848508120000001,0,0,0
10,encrypt,0,0,0,5,0,0
11,mulPlain,0,0,0,6,5,0
12,encode,248,0.92648028992845544,8.3090236597006058e-05,0,0,0
13,encode,248,498.98287963899998,1.535687923,0,0,0
14,encrypt,0,0,0,7,0,0
15,mulPlain,0,0,0,8,7,0
16,add,0,0,0,9,6,8
17,add,0,0,0,10,2,4
18,add,0,0,0,11,10,9
19,encode,248,14.76,14.76,0,0,0
20,encrypt,0,0,0,12,0,0
21,encode,248,721508.01725219004,180377.00431304751,0,0,0
22,sub,0,0,0,13,12,11
23,mulPlain,0,0,0,14,13,0
24,encode,248,0.39250225000209232,0.39250225000209232,0,0,0
25,encode,248,8.0075073240000005,8.0075073240000005,0,0,0
26,encrypt,0,0,0,15,0,0
27,mulPlain,0,0,0,16,15,0
28,encode,248,0.23399775000337183,0.23399775000337183,0,0,0
29,encode,248,5.6082954410000001,5.6082954410000001,0,0,0
30,encrypt,0,0,0,17,0,0
31,mulPlain,0,0,0,18,17,0
32,encode,248,0.23399774999578324,0.23399774999578324,0,0,0
33,encode,248,8.9854326249999996,8.9854326249999996,0,0,0
34,encrypt,0,0,0,19,0,0
35,mulPlain,0,0,0,20,19,0
36,encode,248,0.13950224999875263,0.13950224999875263,0,0,0
37,encode,248,6.5590558049999999,6.5590558049999999,0,0,0
38,encrypt,0,0,0,21,0,0
39,mulPlain,0,0,0,22,21,0
40,add,0,0,0,23,20,22
41,add,0,0,0,24,16,18
42,add,0,0,0,25,24,23
43,sub,0,0,0,26,25,11
44,encode,248,15616.328609332504,849.2983462230419,0,0,0
45,subPlain,0,0,0,27,26,0
46,mulPlain,0,0,0,28,27,0
47,encode,248,15616.328609332504,849.2983462230419,0,0,0
48,subPlain,0,0,0,29,26,0
49,mulPlain,0,0,0,30,29,0
50,encode,248,0.19339573077108896,0.19339573077108896,0,0,0
51,encode,248,10.704594611999999,10.704594611999999,0,0,0
52,encrypt,0,0,0,31,0,0
53,mulPlain,0,0,0,32,31,0
54,encode,248,0.43310426923437517,0.43310426923437517,0,0,0
55,encode,248,21.014350890999999,21.014350890999999,0,0,0
56,encrypt,0,0,0,33,0,0
57,mulPlain,0,0,0,34,33,0
58,encode,248,0.11529657692149241,0.11529657692149241,0,0,0
59,encode,248,11.311948775999999,11.311948775999999,0,0,0
60,encrypt,0,0,0,35,0,0
61,mulPlain,0,0,0,36,35,0
62,encode,248,0.25820342307304345,0.25820342307304345,0,0,0
63,encode,248,20.641641617000001,20.641641617000001,0,0,0
64,encrypt,0,0,0,37,0,0
65,mulPlain,0,0,0,38,37,0
66,add,0,0,0,39,36,38
67,add,0,0,0,40,32,34
68,add,0,0,0,41,40,39
69,sub,0,0,0,42,41,11
70,encode,248,15027.875006541246,849.2983462230419,0,0,0
71,subPlain,0,0,0,43,42,0
72,mulPlain,0,0,0,44,43,0
73,encode,248,15027.875006541246,849.2983462230419,0,0,0
74,subPlain,0,0,0,45,42,0
75,mulPlain,0,0,0,46,45,0
76,encode,248,0.62078921154557642,0.62078921154557642,0,0,0
77,encode,248,6.9012060169999998,6.9012060169999998,0,0,0
78,encrypt,0,0,0,47,0,0
79,mulPlain,0,0,0,48,47,0
80,encode,248,0.005710788459887651,0.005710788459887651,0,0,0
81,encode,248,8.4619560239999991,8.4619560239999991,0,0,0
82,encrypt,0,0,0,49,0,0
83,mulPlain,0,0,0,50,49,0
84,encode,248,0.37009540384175338,0.37009540384175338,0,0,0
85,encode,248,8.864577293,8.864577293,0,0,0
86,encrypt,0,0,0,51,0,0
87,mulPlain,0,0,0,52,51,0
88,encode,248,0.00340459615278249,0.00340459615278249,0,0,0
89,encode,248,9.3469724660000004,9.3469724660000004,0,0,0
90,encrypt,0,0,0,53,0,0
91,mulPlain,0,0,0,54,53,0
92,add,0,0,0,55,52,54
93,add,0,0,0,56,48,50
94,add,0,0,0,57,56,55
95,sub,0,0,0,58,57,11
96,encode,248,14465.370736748906,849.29834622304168,0,0,0
97,subPlain,0,0,0,59,58,0
98,mulPlain,0,0,0,60,59,0
99,encode,248,14465.370736748906,849.29834622304168,0,0,0
100,subPlain,0,0,0,61,58,0
101,mulPlain,0,0,0,62,61,0
102,encode,248,0.42168269231456423,0.42168269231456423,0,0,0
103,encode,248,16.908632277999999,16.908632277999999,0,0,0
104,encrypt,0,0,0,63,0,0
105,mulPlain,0,0,0,64,63,0
106,encode,248,0.2048173076908999,0.2048173076908999,0,0,0
107,encode,248,14.235783576999999,14.235783576999999,0,0,0
108,encrypt,0,0,0,65,0,0
109,mulPlain,0,0,0,66,65,0
110,encode,248,0.25139423076745726,0.25139423076745726,0,0,0
111,encode,248,13.36920166,13.36920166,0,0,0
112,encrypt,0,0,0,67,0,0
113,mulPlain,0,0,0,68,67,0
114,encode,248,0.12210576922707862,0.12210576922707862,0,0,0
115,encode,248,15.428726196,15.428726196,0,0,0
116,encrypt,0,0,0,69,0,0
117,mulPlain,0,0,0,70,69,0
118,add,0,0,0,71,68,70
119,add,0,0,0,72,64,66
120,add,0,0,0,73,72,71
121,sub,0,0,0,74,73,11
122,encode,248,13931.95927544832,849.29834622304168,0,0,0
123,subPlain,0,0,0,75,74,0
124,mulPlain,0,0,0,76,75,0
125,encode,248,13931.95927544832,849.29834622304168,0,0,0
126,subPlain,0,0,0,77,74,0
127,mulPlain,0,0,0,78,77,0
128,encode,248,0.22257617308355201,0.22257617308355201,0,0,0
129,encode,248,15.625337601,15.625337601,0,0,0
130,encrypt,0,0,0,79,0,0
131,mulPlain,0,0,0,80,79,0
132,encode,248,0.40392382692191214,0.40392382692191214,0,0,0
133,encode,248,17.694789885999999,17.694789885999999,0,0,0
134,encrypt,0,0,0,81,0,0
135,mulPlain,0,0,0,82,81,0
136,encode,248,0.13269305769316111,0.13269305769316111,0,0,0
137,encode,248,13.713809013000001,13.713809013000001,0,0,0
138,encrypt,0,0,0,83,0,0
139,mulPlain,0,0,0,84,83,0
