target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,24.999999998029061,112.8,112.8,112.8,0,-6.0026650321745614e-13,6.0026650321745614e-13,0
1,quadrature,0.00080938832735208421,0.00071945629097963041,49.999999996058122,114.00000000000001,114.00000000000001,114.00000000000001,0,-7.4123818200337397e-13,7.4123818200337397e-13,0
2,quadrature,0.00080938832735208421,0.00080938832735208421,99.999999992116244,114.39999999999999,123.19999999921161,104.00000000000001,1.6000000000000085,1.5999999999995123,4.9626969200744497e-13,0
3,quadrature,0.00071945629097963041,0.00080938832735208421,49.999999996058122,113.19999999999999,113.19999999999999,113.19999999999999,0,1.3642420527669459e-14,1.3642420527669459e-14,0
4,quadrature,0.00089932036372453801,0.00071945629097963041,49.999999996058122,115.2,115.2,115.2,0,5.2295945356066257e-13,5.2295945356066257e-13,0
5,quadrature,0.00089932036372453801,0.00080938832735208421,99.999999992116244,115.59999999999999,125.2,105.2,0.40000000000000568,0.39999999999985791,1.4777068457760834e-13,0
6,quadrature,0.00098925240009699192,0.00071945629097963041,49.999999996058122,116.40000000000001,116.40000000000001,116.40000000000001,0,8.867573342985148e-14,8.867573342985148e-14,0
7,quadrature,0.00098925240009699192,0.00080938832735208421,99.999999992116244,116.8,126.40000000000001,108.00000000078838,-0.79999999999999716,-0.7999999999992774,7.1975758686448899e-13,0
8,quadrature,0.0010791844364694456,0.00071945629097963041,24.999999998029061,117.60000000000001,117.60000000000001,117.60000000000001,0,-2.7512214730800075e-13,2.7512214730800075e-13,0
9,quadrature,0.0010791844364694456,0.00080938832735208421,49.999999996058122,118,118,118,0,-4.7748471846843103e-13,4.7748471846843103e-13,0
10,quadrature,0.00080938832735208421,0.00089932036372453801,99.999999992116244,114.8,123.59999999921162,103.60000000078837,1.2000000000000028,1.2000000000003848,3.8191672047105385e-13,0
11,quadrature,0.00071945629097963041,0.00089932036372453801,49.999999996058122,113.59999999999999,113.59999999999999,113.59999999999999,0,-4.2064129960314163e-14,4.2064129960314163e-14,0
12,quadrature,0.00089932036372453801,0.00089932036372453801,99.999999992116244,116,133.59999999842324,98.400000001576757,0,-5.6960658416699071e-13,5.6960658416699071e-13,0
