target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,-1.8962390333862111e-14,1.8962390333862111e-14,0
1,quadrature,121.49307440173557,25.094334209552887,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,-1.7952771310272539e-14,1.7952771310272539e-14,0
2,quadrature,121.49307440173557,25.094442127996533,119.90770754106842,0,9.0156574614514859,-9.0156574614514859,0,-1.8934500224901388e-13,1.8934500224901388e-13,0
3,quadrature,121.49297517271243,25.094442127996533,59.953853770534209,0,6.9282032302358321,-6.9282032302358321,0,5.5854011798912609e-14,5.5854011798912609e-14,0
4,quadrature,121.49317363075872,25.094334209552887,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,-1.0174451995435023e-13,1.0174451995435023e-13,0
5,quadrature,121.49317363075872,25.094442127996533,119.90770754106842,0,9.0156574614514859,-9.0156574614514859,0,-1.8891310628780837e-13,1.8891310628780837e-13,0
6,quadrature,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,-1.8962390333862111e-14,1.8962390333862111e-14,0
7,quadrature,121.49327285978185,25.094442127996533,59.953853770534209,0,6.9282032302358321,-6.9282032302358321,0,8.6231479843413421e-14,8.6231479843413421e-14,0
8,quadrature,121.49307440173557,25.09455004644018,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,4.6962155242944047e-14,4.6962155242944047e-14,0
9,quadrature,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,9.8604429736082976e-14,9.8604429736082976e-14,0
10,quadrature,121.49317363075872,25.09455004644018,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,2.169283222611921e-13,2.169283222611921e-13,0
11,quadrature,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,6.447212713513117e-14,6.447212713513117e-14,0
12,boundary_diagnostic,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,2.5030355240697985e-13,2.5030355240697985e-13,0
13,boundary_diagnostic,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,-3.7924780667724221e-15,3.7924780667724221e-15,0
14,boundary_diagnostic,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,1.4790664460412444e-13,1.4790664460412444e-13,0
15,boundary_diagnostic,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,9.4811951669310547e-14,9.4811951669310547e-14,0
