target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,24.999999998029093,100,100,100,0,-1.2278178474902496e-13,1.2278178474902496e-13,0
1,quadrature,0.00080938832735208432,0.00071945629097963041,49.999999996058186,100,117.32050807432327,82.679491925676729,-12,-12.00000000000011,1.1013412404281553e-13,0
2,quadrature,0.00080938832735208432,0.00080938832735208432,99.999999992116372,100,124.49489742686623,75.505102573133769,-12,-12.000000000000322,3.2152058793144533e-13,0
3,quadrature,0.00071945629097963041,0.00080938832735208432,49.999999996058186,100,117.32050807568878,82.679491924311222,-12,-11.99999999999979,2.0961010704922955e-13,0
4,quadrature,0.00089932036372453812,0.00071945629097963041,24.999999998029093,100,100,100,0,6.8212102638347211e-14,6.8212102638347211e-14,0
5,quadrature,0.00089932036372453812,0.00080938832735208432,49.999999996058186,100,117.32050807568878,82.679491924311222,-12,-12.000000000000101,1.0125233984581428e-13,0
6,quadrature,0.00080938832735208432,0.00089932036372453812,49.999999996058186,100,117.32050807432327,82.679491925676729,-12,-11.99999999999946,5.4001247917767614e-13,0
7,quadrature,0.00071945629097963041,0.00089932036372453812,24.999999998029093,100,100,100,0,-5.5174315867102551e-13,5.5174315867102551e-13,0
8,quadrature,0.00089932036372453812,0.00089932036372453812,24.999999998029093,100,100,100,0,1.3642420527669442e-14,1.3642420527669442e-14,0
9,boundary_diagnostic,0.00071945629097963041,0.00071945629097963041,24.999999998029093,100,100,100,0,2.6375346353494253e-13,2.6375346353494253e-13,0
10,boundary_diagnostic,0.00089932036372453812,0.00071945629097963041,24.999999998029093,100,100,100,0,-1.637090463320333e-13,1.637090463320333e-13,0
11,boundary_diagnostic,0.00089932036372453812,0.00089932036372453812,24.999999998029093,100,100,100,0,-3.0013325160872772e-13,3.0013325160872772e-13,0
12,boundary_diagnostic,0.00071945629097963041,0.00089932036372453812,24.999999998029093,100,100,100,0,1.5006662580436386e-13,1.5006662580436386e-13,0
