target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,24.999999998029093,100,100,100,0,-6.0254023997206704e-14,6.0254023997206704e-14,0
1,quadrature,0.00080938832735208432,0.00071945629097963041,49.999999996058186,100,105.7735026914411,94.226497308558905,5.7735026914410925,5.7735026914406973,3.9523939676655573e-13,0
2,quadrature,0.00080938832735208432,0.00080938832735208432,99.999999992116372,100,108.16496580895542,91.835034191044585,8.1649658089554134,8.1649658089552748,1.3855583347321954e-13,0
3,quadrature,0.00071945629097963041,0.00080938832735208432,49.999999996058186,100,105.77350269189625,94.226497308103745,5.7735026918962618,5.7735026918967138,4.5208281562736374e-13,0
4,quadrature,0.00089932036372453812,0.00071945629097963041,24.999999998029093,100,100,100,0,3.6379788073785176e-14,3.6379788073785176e-14,0
5,quadrature,0.00089932036372453812,0.00080938832735208432,49.999999996058186,100,105.77350269189625,94.226497308103745,5.7735026918962618,5.7735026918960886,1.7319479184152442e-13,0
6,quadrature,0.00080938832735208432,0.00089932036372453812,49.999999996058186,100,105.7735026914411,94.226497308558905,5.7735026914410925,5.773502691441081,1.1546319456101628e-14,0
7,quadrature,0.00071945629097963041,0.00089932036372453812,24.999999998029093,100,100,100,0,-7.375915319252023e-14,7.375915319252023e-14,0
8,quadrature,0.00089932036372453812,0.00089932036372453812,24.999999998029093,100,100,100,0,-1.3187673176747127e-13,1.3187673176747127e-13,0
9,boundary_diagnostic,0.00071945629097963041,0.00071945629097963041,24.999999998029093,100,100,100,0,2.0008883440581848e-13,2.0008883440581848e-13,0
10,boundary_diagnostic,0.00089932036372453812,0.00071945629097963041,24.999999998029093,100,100,100,0,7.0485839392958775e-14,7.0485839392958775e-14,0
11,boundary_diagnostic,0.00089932036372453812,0.00089932036372453812,24.999999998029093,100,100,100,0,-4.2291503635775268e-13,4.2291503635775268e-13,0
12,boundary_diagnostic,0.00071945629097963041,0.00089932036372453812,24.999999998029093,100,100,100,0,-1.7621459848239696e-13,1.7621459848239696e-13,0
