target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,24.999999998029093,260,260,288.45299461711784,28.452994617117817,28.452994617118069,2.5224267119483557e-13,1
1,quadrature,0.00080938832735208432,0.00071945629097963041,49.999999996058186,280,265.77350269144108,294.22649730855892,14.226497308558908,14.226497308557892,1.0160761121369433e-12,1
2,quadrature,0.00080938832735208432,0.00080938832735208432,99.999999992116372,280,268.1649658089554,291.8350341910446,11.835034191044587,11.835034191044484,1.0302869668521453e-13,1
3,quadrature,0.00071945629097963041,0.00080938832735208432,49.999999996058186,260,265.77350269189628,287.09005551345615,27.090055513456168,27.090055513457322,1.1546319456101628e-12,1
4,quadrature,0.00089932036372453812,0.00071945629097963041,24.999999998029093,300,271.54700538288216,300,0,1.8644641387814904e-13,1.8644641387814904e-13,1
5,quadrature,0.00089932036372453812,0.00080938832735208432,49.999999996058186,300,272.90994448654385,294.22649730810372,-5.7735026918962618,-5.7735026918963062,4.4408920985006262e-14,1
6,quadrature,0.00080938832735208432,0.00089932036372453812,49.999999996058186,280,265.77350269144108,294.22649730855892,14.226497308558908,14.226497308559217,3.0908609005564358e-13,1
7,quadrature,0.00071945629097963041,0.00089932036372453812,24.999999998029093,260,260,288.45299461711784,28.452994617117817,28.452994617116872,9.4502183856093325e-13,1
8,quadrature,0.00089932036372453812,0.00089932036372453812,24.999999998029093,300,271.54700538288216,300,0,-3.0922819862717403e-13,3.0922819862717403e-13,1
9,boundary_diagnostic,0.00071945629097963041,0.00071945629097963041,24.999999998029093,260,260,288.45299461711784,28.452994617117817,28.452994617118776,9.5923269327613525e-13,1
10,boundary_diagnostic,0.00089932036372453812,0.00071945629097963041,24.999999998029093,300,271.54700538288216,300,0,-4.0927261583008324e-14,4.0927261583008324e-14,1
11,boundary_diagnostic,0.00089932036372453812,0.00089932036372453812,24.999999998029093,300,271.54700538288216,300,0,-1.3187673176747126e-12,1.3187673176747126e-12,1
12,boundary_diagnostic,0.00071945629097963041,0.00089932036372453812,24.999999998029093,260,260,288.45299461711784,28.452994617117817,28.452994617117501,3.1619151741324458e-13,1
