target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,14.062499998891337,100,100,100,0,-1.2530815892081587e-13,1.2530815892081587e-13,0
1,quadrature,0.00078690531825897068,0.00071945629097963041,28.124999997782673,100,107.49999999940871,92.500000000591285,4,3.9999999999997584,2.4158453015843406e-13,0
2,quadrature,0.00078690531825897068,0.00078690531825897068,42.187499996674006,100,103.53553390579337,96.464466094206628,3.5355339057933755,3.5355339057938266,4.5119463720766362e-13,0
3,quadrature,0.00071945629097963041,0.00078690531825897068,28.124999997782673,100,107.5,92.5,4,4.0000000000006217,6.2172489379008766e-13,0
4,quadrature,0.00085435434553831106,0.00071945629097963041,28.124999997782673,100,111.18033988732266,88.81966011267734,4,4.0000000000001386,1.3855583347321954e-13,0
5,quadrature,0.00085435434553831106,0.00078690531825897068,28.124999997782673,100,105.5901699433969,94.409830056603099,4,3.9999999999995772,4.2277292777725961e-13,0
6,quadrature,0.00092180337281765144,0.00071945629097963041,28.124999997782673,100,107.49999999940871,92.500000000591285,4,4.0000000000006031,6.0307314697638503e-13,0
7,quadrature,0.00092180337281765144,0.00078690531825897068,28.124999997782673,100,107.90569414986001,92.094305850139989,4,4.0000000000000835,8.3488771451811772e-14,0
8,quadrature,0.00098925240009699171,0.00071945629097963041,14.062499998891337,100,100,100,0,2.9912270194001206e-13,2.9912270194001206e-13,0
9,quadrature,0.00098925240009699171,0.00078690531825897068,14.062499998891337,100,102.5,97.5,2.5000000000000031,2.5000000000000711,6.794564910705958e-14,0
10,quadrature,0.00078690531825897068,0.00085435434553831106,28.124999997782673,100,105.59016994366132,94.409830056338677,4,4.0000000000001537,1.5365486660812167e-13,0
11,quadrature,0.00071945629097963041,0.00085435434553831106,28.124999997782673,100,111.1803398867938,88.819660113206197,4,3.9999999999998876,1.1235457009206584e-13,0
12,quadrature,0.00078690531825897068,0.00092180337281765144,28.124999997782673,100,107.90569415035863,92.094305849641373,4,3.999999999999956,4.3964831775156199e-14,0
13,quadrature,0.00071945629097963041,0.00092180337281765144,28.124999997782673,100,107.5,92.5,4,4.0000000000002904,2.9043434324194095e-13,0
14,quadrature,0.00078690531825897068,0.00098925240009699171,14.062499998891337,100,102.49999999980291,97.50000000019709,2.4999999998029092,2.4999999998030216,1.1235457009206584e-13,0
15,quadrature,0.00071945629097963041,0.00098925240009699171,14.062499998891337,100,100,100,0,-2.5465851651649673e-13,2.5465851651649673e-13,0
16,boundary_diagnostic,0.00071945629097963041,0.00071945629097963041,14.062499998891337,100,100,100,0,-1.9967028226933085e-13,1.9967028226933085e-13,0
17,boundary_diagnostic,0.00098925240009699171,0.00071945629097963041,14.062499998891337,100,100,100,0,1.9658980510088201e-13,1.9658980510088201e-13,0
18,boundary_diagnostic,0.00098925240009699171,0.00080938832735208421,14.062499998891337,100,100,100,0,9.7641214090869036e-14,9.7641214090869036e-14,0
19,boundary_diagnostic,0.00080938832735208421,0.00080938832735208421,14.062499998891337,100,100,100,0,1.2364451092399311e-13,1.2364451092399311e-13,0
20,boundary_diagnostic,0.00080938832735208421,0.00098925240009699171,14.062499998891337,100,100,100,0,6.2131812453537163e-13,6.2131812453537163e-13,0
21,boundary_diagnostic,0.00071945629097963041,0.00098925240009699171,14.062499998891337,100,100,100,0,2.1057525785571023e-13,2.1057525785571023e-13,0
