sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,0.00071945629097963041,0.00071945629097963041,0,0,100,100,100,0,-5.4356519285647664e-13,0,0,0,1
1,0.00080938832735917424,0.00071945629097963041,10.000000000000002,10.000000000000002,100,100,102.12556561670021,2.1255656167002144,2.1255656167002428,2.1255656167002144,2.1255656167002428,2.8421709430404007e-14,0
2,0.00089932036373871808,0.00071945629097963041,20.000000000000004,20.000000000000004,100,100,104.25113123340044,4.251131233400443,4.2511312334005034,4.251131233400443,4.2511312334005034,6.0396132539608516e-14,0
3,0.0009892524001182618,0.00071945629097963041,29.999999999999993,29.999999999999993,100,100,106.37669685010066,6.3766968501006573,6.3766968501006893,6.3766968501006573,6.3766968501006893,3.1974423109204508e-14,0
4,0.0010791844364978057,0.00071945629097963041,40.000000000000007,40.000000000000007,100,100,108.50226246680089,8.5022624668008859,8.502262466801076,8.5022624668008859,8.502262466801076,1.900701818158268e-13,0
5,0.0011691164728773497,0.00071945629097963041,50.000000000000021,50.000000000000021,100,100,110.62782808350111,10.627828083501115,10.627828083500777,10.627828083501115,10.627828083500777,3.3750779948604759e-13,0
6,0.0012590485092568934,0.00071945629097963041,60.000000000000014,60.000000000000007,100,100,112.75339370020133,12.753393700201329,12.753393700201277,12.753393700201329,12.753393700201277,5.1514348342607263e-14,0
7,0.0013489805456364371,0.00071945629097963041,70,70,100,100,114.87895931690154,14.878959316901543,14.878959316901522,14.878959316901543,14.878959316901522,2.1316282072803006e-14,0
8,0.0014389125820159811,0.00071945629097963041,80.000000000000014,80.000000000000014,100,100,117.00452493360177,17.004524933601772,17.004524933601505,17.004524933601772,17.004524933601505,2.6645352591003757e-13,0
9,0.0015288446183955248,0.00071945629097963041,90,90,100,100,119.13009055030199,19.130090550301986,19.13009055030205,19.130090550301986,19.13009055030205,6.3948846218409017e-14,0
