sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,0.00071945629097963041,0.00071945629097963041,0,0,100,100,100,0,-2.1959419233134291e-13,0,0,0,1
1,0.00080938832735917424,0.00071945629097963041,10.000000000000002,10.000000000000002,100,100,100.00000000001745,1.7450929590268061e-11,1.709026447215437e-11,1.7450929590268061e-11,1.709026447215437e-11,3.6066511811369023e-13,1
2,0.00089932036373871808,0.00071945629097963041,20.000000000000004,20.000000000000004,100,100,100.0000000000349,3.4901859180536121e-11,3.5094440002065977e-11,3.4901859180536121e-11,3.5094440002065977e-11,1.925808215298554e-13,1
3,0.0009892524001182618,0.00071945629097963041,29.999999999999993,29.999999999999993,100,100,100.00000000005235,5.2352788770804182e-11,5.2329428446751241e-11,5.2352788770804182e-11,5.2329428446751241e-11,2.3360324052940196e-14,1
4,0.0010791844364978057,0.00071945629097963041,40.000000000000007,40.000000000000007,100,100,100.00000000006982,6.9817929215787444e-11,7.0131474401225564e-11,6.9817929215787444e-11,7.0131474401225564e-11,3.1354518543811991e-13,1
5,0.0011691164728773497,0.00071945629097963041,50.000000000000021,50.000000000000021,100,100,100.00000000008727,8.7268858806055505e-11,8.7215092294457358e-11,8.7268858806055505e-11,8.7215092294457358e-11,5.3766511598147039e-14,1
6,0.0012590485092568934,0.00071945629097963041,60.000000000000014,60.000000000000007,100,100,100.00000000010472,1.0471978839632357e-10,1.0492069444464759e-10,1.0471978839632357e-10,1.0492069444464759e-10,2.0090604832402337e-13,1
7,0.0013489805456364371,0.00071945629097963041,70,70,100,100,100.00000000012217,1.2217071798659163e-10,1.2232789355719343e-10,1.2217071798659163e-10,1.2232789355719343e-10,1.5717557060180779e-13,1
8,0.0014389125820159811,0.00071945629097963041,80.000000000000014,80.000000000000014,100,100,100.00000000013962,1.3962164757685969e-10,1.3926735302346568e-10,1.3962164757685969e-10,1.3926735302346568e-10,3.5429455339400273e-13,1
9,0.0015288446183955248,0.00071945629097963041,90,90,100,100,100.00000000015707,1.5707257716712775e-10,1.5710821971485763e-10,1.5707257716712775e-10,1.5710821971485763e-10,3.5642547729881059e-14,1
