sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,0.00071945629097963041,0.00071945629097963041,0,0,100,100,100,0,2.9309887850104133e-13,0,2.9309887850104133e-13,2.9309887850104133e-13,1
1,0.00080938832735917424,0.00071945629097963041,10.000000000000002,10.000000000000002,100,100,102.12556561670021,2.1255656167002144,2.1255656167003085,2.1255656167002144,2.1255656167003085,9.4146912488213275e-14,0
2,0.00089932036373871808,0.00071945629097963041,20.000000000000004,20.000000000000004,100,100,104.25113123340044,4.251131233400443,4.2511312334004252,4.251131233400443,4.2511312334004252,1.7763568394002505e-14,0
3,0.0009892524001182618,0.00071945629097963041,29.999999999999993,29.999999999999993,100,100,106.37669685010066,6.3766968501006573,6.3766968501005508,6.3766968501006573,6.3766968501005508,1.0658141036401503e-13,0
4,0.0010791844364978057,0.00071945629097963041,40.000000000000007,40.000000000000007,100,100,108.50226246680089,8.5022624668008859,8.5022624668010138,8.5022624668008859,8.5022624668010138,1.2789769243681803e-13,0
5,0.0011691164728773497,0.00071945629097963041,50.000000000000021,50.000000000000021,100,100,110.62782808350111,10.627828083501115,10.627828083500875,10.627828083501115,10.627828083500875,2.3980817331903381e-13,0
6,0.0012590485092568934,0.00071945629097963041,60.000000000000014,60.000000000000007,100,100,112.75339370020133,12.753393700201329,12.753393700201364,12.753393700201329,12.753393700201364,3.5527136788005009e-14,0
7,0.0013489805456364371,0.00071945629097963041,70,70,100,100,114.87895931690154,14.878959316901543,14.87895931690157,14.878959316901543,14.87895931690157,2.6645352591003757e-14,0
8,0.0014389125820159811,0.00071945629097963041,80.000000000000014,80.000000000000014,100,100,117.00452493360177,17.004524933601772,17.004524933601907,17.004524933601772,17.004524933601907,1.3500311979441904e-13,0
9,0.0015288446183955248,0.00071945629097963041,90,90,100,100,119.13009055030199,19.130090550301986,19.130090550302072,19.130090550301986,19.130090550302072,8.5265128291212022e-14,0
10,0.0016187766547750687,0.00071945629097963041,100.00000000000001,100.00000000000001,100,100,121.25565616700221,21.255656167002215,21.25565616700241,21.255656167002215,21.25565616700241,1.9539925233402755e-13,0
11,0.0017087086911546125,0.00071945629097963041,110,110,100,100,123.38122178370243,23.381221783702429,23.381221783702181,23.381221783702429,23.381221783702181,2.4868995751603507e-13,0
12,0.0017986407275341564,0.00071945629097963041,120.00000000000001,120.00000000000001,100,100,125.50678740040266,25.506787400402658,25.506787400402636,25.506787400402658,25.506787400402636,2.1316282072803006e-14,0
13,0.0018885727639137001,0.00071945629097963041,130,130,100,100,127.63235301710287,27.632353017102872,27.632353017102886,27.632353017102872,27.632353017102886,1.4210854715202004e-14,0
14,0.0019785048002932439,0.00071945629097963041,140,140,100,100,129.75791863380309,29.757918633803087,29.757918633803087,29.757918633803087,29.757918633803087,0,0
15,0.0020684368366727882,0.00071945629097963041,150.00000000000006,150.00000000000006,100,100,131.88348425050333,31.883484250503329,31.883484250503557,31.883484250503329,31.883484250503557,2.2737367544323206e-13,0
16,0.0021583688730523317,0.00071945629097963041,160.00000000000003,160.00000000000003,100,100,134.00904986720354,34.009049867203544,34.00904986720348,34.009049867203544,34.00904986720348,6.3948846218409017e-14,0
17,0.0022483009094318752,0.00071945629097963041,170,170,100,100,136.13461548390376,36.134615483903758,36.134615483904255,36.134615483903758,36.134615483904255,4.9737991503207013e-13,0
18,0.0023382329458114192,0.00071945629097963041,180,180,100,100,138.26018110060397,38.260181100603972,38.26018110060388,38.260181100603972,38.26018110060388,9.2370555648813024e-14,0
19,0.0024281649821909631,0.00071945629097963041,190,190,100,100,140.38574671730419,40.385746717304187,40.385746717304286,40.385746717304187,40.385746717304286,9.9475983006414026e-14,0
20,0.0025180970185705071,0.00071945629097963041,200,200,100,100,142.51131233400443,42.51131233400443,42.511312334004501,42.51131233400443,42.511312334004501,7.1054273576010019e-14,0
21,0.002608029054950051,0.00071945629097963041,210,210,100,100,144.63687795070464,44.636877950704644,44.636877950704701,44.636877950704644,44.636877950704701,5.6843418860808015e-14,0
22,0.0026979610913295945,0.00071945629097963041,219.99999999999997,219.99999999999997,100,100,146.76244356740486,46.762443567404858,46.762443567404787,46.762443567404858,46.762443567404787,7.1054273576010019e-14,0
23,0.0027878931277091385,0.00071945629097963041,229.99999999999997,229.99999999999997,100,100,148.88800918410507,48.888009184105073,48.888009184105172,48.888009184105073,48.888009184105172,9.9475983006414026e-14,0
24,0.0028778251640886824,0.00071945629097963041,239.99999999999997,239.99999999999997,100,100,151.01357480080529,51.013574800805287,51.013574800805522,51.013574800805287,51.013574800805522,2.3447910280083306e-13,0
25,0.0029677572004682263,0.00071945629097963041,249.99999999999997,249.99999999999997,100,100,153.13914041750553,53.13914041750553,53.139140417505601,53.13914041750553,53.139140417505601,7.1054273576010019e-14,0
26,0.0030576892368477698,0.00071945629097963041,259.99999999999994,259.99999999999994,100,100,155.26470603420574,55.264706034205744,55.264706034205879,55.264706034205744,55.264706034205879,1.3500311979441904e-13,0
27,0.0031476212732273138,0.00071945629097963041,269.99999999999994,269.99999999999994,100,100,157.39027165090596,57.390271650905959,57.390271650906186,57.390271650905959,57.390271650906186,2.2737367544323206e-13,0
28,0.0032375533096068577,0.00071945629097963041,279.99999999999994,279.99999999999994,100,100,159.51583726760617,59.515837267606173,59.51583726760613,59.515837267606173,59.51583726760613,4.2632564145606011e-14,0
29,0.0033274853459864017,0.00071945629097963041,289.99999999999994,289.99999999999994,100,100,161.64140288430639,61.641402884306387,61.641402884306132,61.641402884306387,61.641402884306132,2.5579538487363607e-13,0
30,0.0034174173823659456,0.00071945629097963041,299.99999999999994,299.99999999999994,100,100,163.7669685010066,63.766968501006602,63.76696850100663,63.766968501006602,63.76696850100663,2.8421709430404007e-14,0
31,0.0035073494187454896,0.00071945629097963041,309.99999999999994,309.99999999999994,100,100,165.89253411770684,65.892534117706845,65.892534117706759,65.892534117706845,65.892534117706759,8.5265128291212022e-14,0
32,0.0035972814551250326,0.00071945629097963041,319.99999999999989,319.99999999999989,100,100,168.01809973440703,68.018099734407031,68.018099734407414,68.018099734407031,68.018099734407414,3.836930773104541e-13,0
33,0.0036872134915045766,0.00071945629097963041,329.99999999999989,329.99999999999989,100,100,170.14366535110727,70.143665351107273,70.143665351107856,70.143665351107273,70.143665351107856,5.8264504332328215e-13,0
34,0.0037771455278841205,0.00071945629097963041,339.99999999999989,339.99999999999989,100,100,172.26923096780749,72.269230967807488,72.269230967807573,72.269230967807488,72.269230967807573,8.5265128291212022e-14,0
35,0.0038670775642636645,0.00071945629097963041,349.99999999999989,349.99999999999989,100,100,174.39479658450773,74.394796584507731,74.394796584507901,74.394796584507731,74.394796584507901,1.7053025658242404e-13,0
36,0.003957009600643208,0.00071945629097963041,359.99999999999983,359.99999999999983,100,100,176.52036220120792,76.520362201207917,76.520362201208002,76.520362201207917,76.520362201208002,8.5265128291212022e-14,0
37,0.0040469416370227523,0.00071945629097963041,369.99999999999989,369.99999999999989,100,100,178.64592781790816,78.645927817908159,78.64592781790806,78.645927817908159,78.64592781790806,9.9475983006414026e-14,0
38,0.0041368736734022958,0.00071945629097963041,379.99999999999983,379.99999999999983,100,100,180.77149343460837,80.771493434608374,80.771493434608772,80.771493434608374,80.771493434608772,3.979039320256561e-13,0
39,0.0042268057097818402,0.00071945629097963041,389.99999999999989,389.99999999999989,100,100,182.89705905130859,82.897059051308588,82.897059051308531,82.897059051308588,82.897059051308531,5.6843418860808015e-14,0
40,0.0043167377461613837,0.00071945629097963041,399.99999999999983,399.99999999999983,100,100,185.0226246680088,85.022624668008802,85.022624668008987,85.022624668008802,85.022624668008987,1.8474111129762605e-13,0
