event,operation,output_cipher,input_a,input_b
0,encode,0,0,0
1,encode,0,0,0
2,encrypt,1,0,0
3,mulPlain,2,1,0
4,encode,0,0,0
5,encode,0,0,0
6,encrypt,3,0,0
7,mulPlain,4,3,0
8,encode,0,0,0
9,encode,0,0,0
10,encrypt,5,0,0
11,mulPlain,6,5,0
12,encode,0,0,0
13,encode,0,0,0
14,encrypt,7,0,0
15,mulPlain,8,7,0
16,add,9,6,8
17,add,10,2,4
18,add,11,10,9
19,encode,0,0,0
20,encode,0,0,0
21,encrypt,12,0,0
22,mulPlain,13,12,0
23,encode,0,0,0
24,encode,0,0,0
25,encrypt,14,0,0
26,mulPlain,15,14,0
27,encode,0,0,0
28,encode,0,0,0
29,encrypt,16,0,0
30,mulPlain,17,16,0
31,encode,0,0,0
32,encode,0,0,0
33,encrypt,18,0,0
34,mulPlain,19,18,0
35,add,20,17,19
36,add,21,13,15
37,add,22,21,20
38,encode,0,0,0
39,subPlain,23,22,0
40,sub,24,23,11
41,encode,0,0,0
42,encode,0,0,0
43,encrypt,25,0,0
44,mulPlain,26,25,0
45,encode,0,0,0
46,encode,0,0,0
47,encrypt,27,0,0
48,mulPlain,28,27,0
49,encode,0,0,0
50,encode,0,0,0
51,encrypt,29,0,0
52,mulPlain,30,29,0
53,encode,0,0,0
54,encode,0,0,0
55,encrypt,31,0,0
56,mulPlain,32,31,0
57,add,33,30,32
58,add,34,26,28
59,add,35,34,33
60,encode,0,0,0
61,encode,0,0,0
62,encrypt,36,0,0
63,mulPlain,37,36,0
64,encode,0,0,0
65,encode,0,0,0
66,encrypt,38,0,0
67,mulPlain,39,38,0
68,encode,0,0,0
69,encode,0,0,0
70,encrypt,40,0,0
71,mulPlain,41,40,0
72,encode,0,0,0
73,encode,0,0,0
74,encrypt,42,0,0
75,mulPlain,43,42,0
76,add,44,41,43
77,add,45,37,39
78,add,46,45,44
79,encode,0,0,0
80,subPlain,47,46,0
81,sub,48,47,35
82,encode,0,0,0
83,encode,0,0,0
84,encrypt,49,0,0
85,mulPlain,50,49,0
86,encode,0,0,0
87,encode,0,0,0
88,encrypt,51,0,0
89,mulPlain,52,51,0
90,encode,0,0,0
91,encode,0,0,0
92,encrypt,53,0,0
93,mulPlain,54,53,0
94,encode,0,0,0
95,encode,0,0,0
96,encrypt,55,0,0
97,mulPlain,56,55,0
98,add,57,54,56
99,add,58,50,52
100,add,59,58,57
101,encode,0,0,0
102,encode,0,0,0
103,encrypt,60,0,0
104,mulPlain,61,60,0
105,encode,0,0,0
106,encode,0,0,0
107,encrypt,62,0,0
108,mulPlain,63,62,0
109,encode,0,0,0
110,encode,0,0,0
111,encrypt,64,0,0
112,mulPlain,65,64,0
113,encode,0,0,0
114,encode,0,0,0
115,encrypt,66,0,0
116,mulPlain,67,66,0
117,add,68,65,67
118,add,69,61,63
119,add,70,69,68
120,encode,0,0,0
121,subPlain,71,70,0
122,sub,72,71,59
123,decrypt,0,24,0
124,decrypt,0,48,0
125,decrypt,0,72,0
