sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,0.00071945629097963041,0.00071945629097963041,0,0,92,92,92,0,-2.4424906541753444e-13,0,0,0,1
1,0.00080938832735917424,0.00071945629097963041,10.000000000000002,10.000000000000002,90.999999999921172,92,92,1.0000000000788276,1.0000000000785807,1.0000000000788276,1.0000000000785807,2.4691360067663481e-13,0
2,0.00089932036373871808,0.00071945629097963041,20.000000000000004,20.000000000000004,89.999999999842331,92,92,2.0000000001576694,2.0000000001577689,2.0000000001576694,2.0000000001577689,9.9475983006414026e-14,0
3,0.0009892524001182618,0.00071945629097963041,29.999999999999993,29.999999999999993,88.999999999763489,92,92,3.0000000002365113,3.0000000002367382,3.0000000002365113,3.0000000002367382,2.26929586233382e-13,0
4,0.0010791844364978057,0.00071945629097963041,40.000000000000007,40.000000000000007,87.999999999684647,92,92,4.0000000003153531,4.0000000003152199,4.0000000003153531,4.0000000003152199,1.3322676295501878e-13,0
5,0.0011691164728773497,0.00071945629097963041,50.000000000000021,50.000000000000021,86.999999999605805,92,92,5.0000000003941949,5.0000000003937721,5.0000000003941949,5.0000000003937721,4.2277292777725961e-13,0
6,0.0012590485092568934,0.00071945629097963041,60.000000000000014,60.000000000000007,85.999999999526977,92,92,6.0000000004730225,6.0000000004730385,6.0000000004730225,6.0000000004730385,1.5987211554602254e-14,0
7,0.0013489805456364371,0.00071945629097963041,70,70,84.999999999448136,92,92,7.0000000005518643,7.0000000005520153,7.0000000005518643,7.0000000005520153,1.5099033134902129e-13,0
8,0.0014389125820159811,0.00071945629097963041,80.000000000000014,80.000000000000014,83.999999999369294,92,92,8.0000000006307062,8.0000000006305854,8.0000000006307062,8.0000000006305854,1.2079226507921703e-13,0
9,0.0015288446183955248,0.00071945629097963041,90,90,82.999999999290452,92,92,9.000000000709548,9.0000000007095196,9.000000000709548,9.0000000007095196,2.8421709430404007e-14,0
