sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,0.00071945629097963041,0.00071945629097963041,0,0,100,100,100,0,-2.5113862063275747e-13,0,0,0,1
1,0.00080938832735917424,0.00071945629097963041,10.000000000000002,10.000000000000002,100,100,99.999999999982549,-1.7450929590268061e-11,-1.7562915954573495e-11,0,0,0,1
2,0.00089932036373871808,0.00071945629097963041,20.000000000000004,20.000000000000004,100,100,99.999999999965098,-3.4901859180536121e-11,-3.4693087193414696e-11,0,0,0,1
3,0.0009892524001182618,0.00071945629097963041,29.999999999999993,29.999999999999993,100,100,99.999999999947647,-5.2352788770804182e-11,-5.2083251429536144e-11,0,0,0,1
4,0.0010791844364978057,0.00071945629097963041,40.000000000000007,40.000000000000007,100,100,99.999999999930182,-6.9817929215787444e-11,-6.9519797548132747e-11,0,0,0,1
5,0.0011691164728773497,0.00071945629097963041,50.000000000000021,50.000000000000021,100,100,99.999999999912731,-8.7268858806055505e-11,-8.7189064235614139e-11,0,0,0,1
6,0.0012590485092568934,0.00071945629097963041,60.000000000000014,60.000000000000007,100,100,99.99999999989528,-1.0471978839632357e-10,-1.0445449379925144e-10,0,0,0,1
7,0.0013489805456364371,0.00071945629097963041,70,70,100,100,99.999999999877829,-1.2217071798659163e-10,-1.2198515413861843e-10,0,0,0,1
8,0.0014389125820159811,0.00071945629097963041,80.000000000000014,80.000000000000014,100,100,99.999999999860378,-1.3962164757685969e-10,-1.3987822498071779e-10,0,0,0,1
9,0.0015288446183955248,0.00071945629097963041,90,90,100,100,99.999999999842927,-1.5707257716712775e-10,-1.5707177929382188e-10,0,0,0,1
