sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,121.40851658812427,25.017788736658545,0,0,28.20697537031003,28.20697537031003,28.20697537031003,0,-4.5474735088646412e-13,0,0,0,1
1,121.42403326075893,25.026367094213537,1831.4533639447052,1831.4533639447047,35.31174935492426,28.20697537031003,417.49440526939219,382.18265591446794,382.18265591446652,382.18265591446794,382.18265591446652,1.4210854715202004e-12,0
2,121.43954993339359,25.034945451768529,3662.8134402483461,3662.8134402483456,6.4672094499209587,28.20697537031003,806.76200626824345,800.29479681832254,800.29479681832311,800.29479681832254,800.29479681832311,5.6843418860808015e-13,0
3,121.45506660602825,25.043523809323521,5494.0802007653319,5494.080200765331,12.372246143148676,28.20697537031003,1196.0097723843337,1183.637526241185,1183.6375262411839,1183.637526241185,1183.6375262411839,1.1368683772161603e-12,0
4,121.47058327866291,25.052102166878512,7325.2536173541375,7325.2536173541366,12.909767889900495,28.20697537031003,1585.2376976359972,1572.3279297460967,1572.3279297460958,1572.3279297460967,1572.3279297460958,9.0949470177292824e-13,0
5,121.48609995129758,25.060680524433504,9156.3336618773046,9156.3336618773028,3.9981226445061182,28.20697537031003,1974.4457760424325,1970.4476533979264,1970.4476533979255,1970.4476533979264,1970.4476533979255,9.0949470177292824e-13,0
6,121.50161662393224,25.069258881988496,10987.320306201442,10987.32030620144,16.875081220296106,28.20697537031003,2363.6340016237027,2346.7589204034066,2346.7589204034061,2346.7589204034066,2346.7589204034061,4.5474735088646412e-13,0
7,121.5171332965669,25.077837239543484,12818.213522197022,12818.21352219702,9.0482108941045691,28.20697537031003,2752.8023684006926,2743.7541575065879,2743.754157506587,2743.7541575065879,2743.754157506587,9.0949470177292824e-13,0
8,121.53264996920156,25.086415597098476,14649.013281739208,14649.013281739206,10.471420358094008,28.20697537031003,3141.9508703952824,3131.4794500371886,3131.4794500371886,3131.4794500371886,3131.4794500371886,0,0
9,121.54816664183622,25.094993954653468,16479.719556706619,16479.719556706616,12.538122137714424,28.20697537031003,3531.0795016300895,3518.5413794923752,3518.5413794923747,3518.5413794923752,3518.5413794923747,4.5474735088646412e-13,0
