event,operation,output_cipher,input_a,input_b
0,encode,0,0,0
1,encode,0,0,0
2,encrypt,1,0,0
3,mulPlain,2,1,0
4,encode,0,0,0
5,encode,0,0,0
6,encrypt,3,0,0
7,mulPlain,4,3,0
8,encode,0,0,0
9,encode,0,0,0
10,encrypt,5,0,0
11,mulPlain,6,5,0
12,encode,0,0,0
13,encode,0,0,0
14,encrypt,7,0,0
15,mulPlain,8,7,0
16,add,9,6,8
17,add,10,2,4
18,add,11,10,9
19,encode,0,0,0
20,encode,0,0,0
21,encrypt,12,0,0
22,mulPlain,13,12,0
23,encode,0,0,0
24,encode,0,0,0
25,encrypt,14,0,0
26,mulPlain,15,14,0
27,encode,0,0,0
28,encode,0,0,0
29,encrypt,16,0,0
30,mulPlain,17,16,0
31,encode,0,0,0
32,encode,0,0,0
33,encrypt,18,0,0
34,mulPlain,19,18,0
35,add,20,17,19
36,add,21,13,15
37,add,22,21,20
38,encode,0,0,0
39,subPlain,23,22,0
40,sub,24,23,11
41,decrypt,0,24,0
