sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,0.00071945629097963041,0.00071945629097963041,0,0,100,100,100,0,-4.5297099404706387e-13,0,0,0,1
1,0.00080938832735917424,0.00071945629097963041,10.000000000000002,10.000000000000002,100,100,97.874434383299786,-2.1255656167002144,-2.1255656167001362,0,0,0,0
2,0.00089932036373871808,0.00071945629097963041,20.000000000000004,20.000000000000004,100,100,95.748868766599557,-4.251131233400443,-4.2511312334000291,0,0,0,0
3,0.0009892524001182618,0.00071945629097963041,29.999999999999993,29.999999999999993,100,100,93.623303149899343,-6.3766968501006573,-6.3766968501004975,0,0,0,0
4,0.0010791844364978057,0.00071945629097963041,40.000000000000007,40.000000000000007,100,100,91.497737533199114,-8.5022624668008859,-8.5022624668006141,0,0,0,0
5,0.0011691164728773497,0.00071945629097963041,50.000000000000021,50.000000000000021,100,100,89.372171916498885,-10.627828083501115,-10.627828083501406,0,0,0,0
6,0.0012590485092568934,0.00071945629097963041,60.000000000000014,60.000000000000007,100,100,87.246606299798671,-12.753393700201329,-12.753393700201443,0,0,0,0
7,0.0013489805456364371,0.00071945629097963041,70,70,100,100,85.121040683098457,-14.878959316901543,-14.878959316901412,0,0,0,0
8,0.0014389125820159811,0.00071945629097963041,80.000000000000014,80.000000000000014,100,100,82.995475066398228,-17.004524933601772,-17.004524933602355,0,0,0,0
9,0.0015288446183955248,0.00071945629097963041,90,90,100,100,80.869909449698014,-19.130090550301986,-19.130090550302128,0,0,0,0
