sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,0.00071945629097963041,0.00071945629097963041,0,0,100,100,100,0,-5.5067062021407764e-14,0,0,0,1
1,0.00080938832735917424,0.00071945629097963041,10.000000000000002,10.000000000000002,100,100,102.12556561670021,2.1255656167002144,2.1255656167000563,2.1255656167002144,2.1255656167000563,1.5809575870662229e-13,0
2,0.00089932036373871808,0.00071945629097963041,20.000000000000004,20.000000000000004,100,100,104.25113123340044,4.251131233400443,4.251131233400347,4.251131233400443,4.251131233400347,9.5923269327613525e-14,0
3,0.0009892524001182618,0.00071945629097963041,29.999999999999993,29.999999999999993,100,100,106.37669685010066,6.3766968501006573,6.3766968501007586,6.3766968501006573,6.3766968501007586,1.0125233984581428e-13,0
4,0.0010791844364978057,0.00071945629097963041,40.000000000000007,40.000000000000007,100,100,108.50226246680089,8.5022624668008859,8.5022624668007385,8.5022624668008859,8.5022624668007385,1.4743761767022079e-13,0
5,0.0011691164728773497,0.00071945629097963041,50.000000000000021,50.000000000000021,100,100,110.62782808350111,10.627828083501115,10.627828083501099,10.627828083501115,10.627828083501099,1.5987211554602254e-14,0
6,0.0012590485092568934,0.00071945629097963041,60.000000000000014,60.000000000000007,100,100,112.75339370020133,12.753393700201329,12.753393700201475,12.753393700201329,12.753393700201475,1.4566126083082054e-13,0
7,0.0013489805456364371,0.00071945629097963041,70,70,100,100,114.87895931690154,14.878959316901543,14.87895931690173,14.878959316901543,14.87895931690173,1.865174681370263e-13,0
8,0.0014389125820159811,0.00071945629097963041,80.000000000000014,80.000000000000014,100,100,117.00452493360177,17.004524933601772,17.004524933601957,17.004524933601772,17.004524933601957,1.8474111129762605e-13,0
9,0.0015288446183955248,0.00071945629097963041,90,90,100,100,119.13009055030199,19.130090550301986,19.130090550301972,19.130090550301986,19.130090550301972,1.4210854715202004e-14,0
10,0.0016187766547750687,0.00071945629097963041,100.00000000000001,100.00000000000001,100,100,121.25565616700221,21.255656167002215,21.255656167002325,21.255656167002215,21.255656167002325,1.1013412404281553e-13,0
11,0.0017087086911546125,0.00071945629097963041,110,110,100,100,123.38122178370243,23.381221783702429,23.381221783702657,23.381221783702429,23.381221783702657,2.2737367544323206e-13,0
12,0.0017986407275341564,0.00071945629097963041,120.00000000000001,120.00000000000001,100,100,125.50678740040266,25.506787400402658,25.506787400402729,25.506787400402658,25.506787400402729,7.1054273576010019e-14,0
13,0.0018885727639137001,0.00071945629097963041,130,130,100,100,127.63235301710287,27.632353017102872,27.632353017102822,27.632353017102872,27.632353017102822,4.9737991503207013e-14,0
14,0.0019785048002932439,0.00071945629097963041,140,140,100,100,129.75791863380309,29.757918633803087,29.757918633802998,29.757918633803087,29.757918633802998,8.8817841970012523e-14,0
15,0.0020684368366727882,0.00071945629097963041,150.00000000000006,150.00000000000006,100,100,131.88348425050333,31.883484250503329,31.883484250503344,31.883484250503329,31.883484250503344,1.4210854715202004e-14,0
16,0.0021583688730523317,0.00071945629097963041,160.00000000000003,160.00000000000003,100,100,134.00904986720354,34.009049867203544,34.0090498672037,34.009049867203544,34.0090498672037,1.5631940186722204e-13,0
