sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,0.00071945629097963041,0.00071945629097963041,0,0,129.59999999999999,129.59999999999999,129.59999999999999,0,-4.9382720135326963e-13,0,0,0,1
1,0.00080938832735917424,0.00071945629097963041,10.000000000000002,10.000000000000002,132.60000000023649,129.59999999999999,131.72556561670021,-0.87443438353628267,-0.87443438353655223,0,0,0,0
2,0.00089932036373871808,0.00071945629097963041,20.000000000000004,20.000000000000004,135.60000000047302,129.59999999999999,133.85113123340045,-1.7488687670725653,-1.7488687670723579,0,0,0,0
3,0.0009892524001182618,0.00071945629097963041,29.999999999999993,29.999999999999993,138.60000000070954,129.59999999999999,135.97669685010067,-2.6233031506088764,-2.6233031506086686,0,0,0,0
4,0.0010791844364978057,0.00071945629097963041,40.000000000000007,40.000000000000007,141.60000000094604,129.59999999999999,138.10226246680088,-3.4977375341451591,-3.4977375341448971,0,0,0,0
5,0.0011691164728773497,0.00071945629097963041,50.000000000000021,50.000000000000021,144.60000000118256,129.59999999999999,140.22782808350109,-4.3721719176814702,-4.3721719176817802,0,0,0,0
6,0.0012590485092568934,0.00071945629097963041,60.000000000000014,60.000000000000007,147.60000000141909,129.59999999999999,142.35339370020131,-5.2466063012177813,-5.2466063012176312,0,0,0,0
7,0.0013489805456364371,0.00071945629097963041,70,70,150.60000000165556,129.59999999999999,144.47895931690155,-6.1210406847540071,-6.1210406847538543,0,0,0,0
8,0.0014389125820159811,0.00071945629097963041,80.000000000000014,80.000000000000014,153.60000000189211,129.59999999999999,146.60452493360177,-6.9954750682903466,-6.995475068290876,0,0,0,0
9,0.0015288446183955248,0.00071945629097963041,90,90,156.60000000212858,129.59999999999999,148.73009055030198,-7.8699094518266008,-7.8699094518266683,0,0,0,0
